rank,part_name,part_id,n_points,mean_plastic_strain,median_plastic_strain,p95_plastic_strain,max_plastic_strain,selected,selection_reason,cumulative_nodes
1,MC-RAD-FAN-MOTOR-L-SHELL_190,190,510,0.06988599896430969,0.0505838543176651,0.18449191749095917,0.6898569464683533,True,top10_mean_strain,510
2,MC-RAD-CORE-SHELL_627,627,2441,0.05780363827943802,0.03174517676234245,0.153128981590271,1.353786826133728,True,top10_mean_strain,2951
3,CH-RAD-SUPPORT-CTR_383,383,1737,0.05275291949510574,0.02640632539987564,0.19340813159942627,0.5515482425689697,True,top10_mean_strain,4688
4,CH-RAILS-SUSP-BRKT-R_396,396,882,0.0515541173517704,0.009338218718767166,0.2634452283382416,1.5765899419784546,True,top10_mean_strain,5570
5,CH-HEADLIGHT-BRACKET-B-R_378,378,2331,0.04209687560796738,0.016292711719870567,0.1389767825603485,2.9036383628845215,True,top10_mean_strain,7901
6,MC-RAD-FRAME-R_197,197,197,0.04189061373472214,0.02496066316962242,0.17068293690681458,0.3086187243461609,True,top10_mean_strain,8098
7,CH-BUMPER-CONN-FT-I_629,629,170,0.041612718254327774,0.007627967279404402,0.21406985819339752,0.8271445035934448,True,top10_mean_strain+bumper_front,8268
8,MC-RAD-SMALL-CORE-SHELL_628,628,2074,0.03807487338781357,0.019690535962581635,0.12098653614521027,0.9148139357566833,True,top10_mean_strain,10342
9,CH-SHOCKHOUSE-FT-R_423,423,4873,0.03261755034327507,0.012615681625902653,0.12930765748023987,1.2756571769714355,True,top10_mean_strain,15215
10,CH-HEADLIGHT-BRACKET-L_379,379,2764,0.030608495697379112,0.011115038767457008,0.12826694548130035,0.5874893069267273,True,top10_mean_strain,17979
11,CH-WHEEL-ARCH-FT-R_451,451,2982,0.030567793175578117,0.014869429171085358,0.11690477281808853,0.6779303550720215,False,,
12,CH-WHEEL-ARCH-FT-L_450,450,3399,0.029195567592978477,0.011485708877444267,0.10836205631494522,1.7817089557647705,False,,
13,MC-ENG-MNT-FT_178,178,1519,0.028375878930091858,0.006935985293239355,0.12967437505722046,0.819739580154419,False,,
14,CH-HEADLIGHT-BRACKET-B-L_377,377,2331,0.027340523898601532,0.013315576128661633,0.08649378269910812,1.1209080219268799,False,,
15,MC-RAD-BRKT-L_185,185,169,0.02549910731613636,0.015121117234230042,0.08137071877717972,0.18716922402381897,False,,
16,CH-RAILS-SUSP-BRKT-L_395,395,769,0.024409856647253036,0.001659880275838077,0.09986424446105957,1.2234379053115845,False,,
17,CH-HEADLIGHT-BRACKET-R_380,380,2772,0.023973336443305016,0.009257305413484573,0.09635379165410995,0.5751364231109619,False,,
18,CH-BUMPER-FT-I_330,330,8683,0.022259214892983437,0.01158084999769926,0.07610878348350525,1.1354411840438843,True,bumper_front,26662
19,CH-RAD-SUPPORT-T1_384,384,9316,0.022016357630491257,0.008388251066207886,0.0746954157948494,3.129195213317871,False,,
20,CH-RAILS-U-FT-T-_402,402,4472,0.021847417578101158,0.0025499649345874786,0.08384506404399872,1.63395094871521,False,,
21,OB-FENDER-FT-O-R_284,284,4599,0.0205247700214386,0.004488164559006691,0.09775941073894501,0.5960329174995422,False,,
22,MC-RAD-SMALL-FRAME-R_199,199,163,0.020135825499892235,0.013369988650083542,0.06236369535326958,0.163381427526474,False,,
23,MC-ENG-MNT-P2-R_181,181,487,0.019635185599327087,0.009108087979257107,0.07691542059183121,0.25689345598220825,False,,
24,CH-CBN-FIREWALL_352,352,20649,0.01898537017405033,0.0016516984906047583,0.05982622504234314,4.784962177276611,False,,
25,OB-FENDER-CON-FT-R_282,282,355,0.018948184326291084,0.011507497169077396,0.06493118405342102,0.2534430921077728,False,,
26,OB-BUMPER-FT-FOAM-SHELL_632,632,1292,0.018165405839681625,0.011524196714162827,0.05852242186665535,0.4656144380569458,False,,
27,CH-A-PILLAR-B-I-R_309,309,5684,0.01739025115966797,0.006546946242451668,0.070391945540905,0.6934453845024109,False,,
28,CH-RAILS-FT-R-I_391,391,6692,0.01723991148173809,0.0038062804378569126,0.07948260009288788,1.0076462030410767,False,,
29,CH-RAD-SUPPORT-B2_382,382,3894,0.01720026135444641,0.005052248947322369,0.07340484112501144,1.0755523443222046,False,,
30,OB-FENDER-FT-O-L_283,283,4599,0.015893064439296722,0.002063994063064456,0.07884898781776428,0.8881931304931641,False,,
31,CH-SHOCKHOUSE-REINR_427,427,3448,0.01561873871833086,0.0038211303763091564,0.06473208963871002,2.0483555793762207,False,,
32,CH-FENDER-RAIL-ATT-R_626,626,787,0.01491587795317173,0.004599998705089092,0.06763891130685806,0.17325955629348755,False,,
33,MC-ENG-MNT-P1-R_180,180,515,0.014681387692689896,0.00878455676138401,0.047471996396780014,0.16072876751422882,False,,
34,OB-FENDER-CON-FT-L_281,281,355,0.014017944224178791,0.009261497296392918,0.04573924094438553,0.13848137855529785,False,,
35,CH-RAILS-U-FT-MAIN-R_399,399,6587,0.013623435981571674,0.004495228175073862,0.05678907781839371,0.3498852849006653,False,,
36,CH-FENDER-FT-R-I1_374,374,9430,0.01318015344440937,0.003137197345495224,0.0566454753279686,0.8244162797927856,False,,
37,CH-SHOCKHOUSE-FT-L_422,422,4739,0.013152127154171467,0.003289018524810672,0.054405923932790756,1.2368245124816895,False,,
38,CH-RAILS-REINFT-R-I_394,394,1755,0.012890071608126163,0.0033347224816679955,0.057997871190309525,0.46564069390296936,False,,
39,MC-RAD-FAN-MOTOR-R-SHELL_192,192,510,0.012492235749959946,0.001713278703391552,0.061937857419252396,0.443387508392334,False,,
40,CH-SUSPFRM-TOP_439,439,7677,0.01224556379020214,0.002925441600382328,0.05147554352879524,1.0182735919952393,False,,
41,MC-RAD-FRAME-L_196,196,201,0.011959346942603588,0.0025846553035080433,0.06214585155248642,0.1468544900417328,False,,
42,CH-RAILS-U-FT-T-R_403,403,4472,0.011601153761148453,0.0018847170285880566,0.05115782096982002,0.8329914212226868,False,,
43,CH-RAILS-FT-L-I_389,389,9656,0.011487006209790707,0.0021587195806205273,0.053697120398283005,0.5749067664146423,False,,
44,CH-RAILS-U-FT-O-L_400,400,5383,0.011350203305482864,0.0003656571207102388,0.06426824629306793,0.6217575073242188,False,,
45,OB-HOOD-I_285,285,28834,0.011332560330629349,0.002369191963225603,0.051771871745586395,1.3238624334335327,True,hood,55496
46,CH-RAILS-FT-R-O_392,392,4829,0.011028304696083069,0.004122564569115639,0.04547955468297005,0.39402684569358826,False,,
47,CH-FENDER-FT-L-I1_373,373,9430,0.009856827557086945,0.0016038547037169337,0.04728484898805618,0.48540955781936646,False,,
48,CH-RAILS-U-FT-MAIN-L_398,398,6534,0.009447668679058552,0.0008214825065806508,0.05013657361268997,0.32261669635772705,False,,
49,CH-RAILS-FT-L-O_390,390,5688,0.009142688475549221,0.0024515027180314064,0.040814563632011414,0.25783514976501465,False,,
50,CH-SUSPFRM-B_428,428,6175,0.00910995900630951,0.0023157482501119375,0.03933459892868996,1.422650933265686,False,,
51,MC-RAD-FAN-SHROUD-R_195,195,2399,0.008979082107543945,0.0,0.04211612790822983,2.71555495262146,False,,
52,CH-A-PILLAR-B-I-L_308,308,5686,0.008518332615494728,0.0012498130090534687,0.03805035352706909,0.7707382440567017,False,,
53,OB-HOOD-O_286,286,5075,0.008431892842054367,0.0015457253903150558,0.041770946234464645,0.36074939370155334,True,hood,60571
54,CH-RAILS-BRKT-FT-L_385,385,1936,0.00835348293185234,0.001604101387783885,0.039419256150722504,0.24127812683582306,False,,
55,CH-CBN-SIDE-MID-R_359,359,3059,0.008252766914665699,0.0013071612920612097,0.04094540327787399,0.29498013854026794,False,,
56,CH-RAILS-ENG-MNT-T-L_388,388,789,0.008235466666519642,0.0011242382461205125,0.04784274101257324,0.16461481153964996,False,,
57,MC-RAD-FAN-R_193,193,1101,0.007651760242879391,0.0,0.04867386817932129,0.3514458239078522,False,,
58,CH-CBN-SILL-T_366,366,10150,0.00744098424911499,0.0017960345139726996,0.033137109130620956,0.38735705614089966,False,,
59,CH-CBN-CTR-CSL-P1_340,340,670,0.00740289781242609,0.0004683482111431658,0.02874186262488365,0.4912604093551636,False,,
60,CH-RAILS-U-FT-CTR_397,397,2667,0.007177953142672777,0.002564764581620693,0.029574090614914894,0.19972100853919983,False,,
61,CH-CBN-SILL-BRKT-R_364,364,281,0.00712887616828084,0.0005137320840731263,0.03224776312708855,0.2736017405986786,False,,
62,CH-CBN-SIDE-MID-L_358,358,3059,0.00707171531394124,0.00048610864905640483,0.03556771203875542,0.3084942102432251,False,,
63,CH-A-PILLAR-B-O-L_310,310,8319,0.0068221911787986755,0.0013326711487025023,0.02985028550028801,0.5424296259880066,False,,
64,CH-A-PILLAR-B-O-R_311,311,8439,0.006712558213621378,0.001635157037526369,0.029677918180823326,0.38494378328323364,False,,
65,CH-RAILS-BRKT-FT-R_386,386,2730,0.0064637623727321625,0.0009421759750694036,0.030359214171767235,0.28269273042678833,False,,
66,CH-CBN-FLOORBRD-FT_353,353,79782,0.0063054123893380165,8.694718417245895e-05,0.03217139095067978,2.3461179733276367,False,,
67,CH-RAD-SUPPORT-B1_381,381,11703,0.006281982641667128,0.0012370108161121607,0.02719614841043949,0.7168081998825073,False,,
68,CH-RAILS-U-FT-O-R_401,401,5383,0.005979450885206461,0.0,0.032715052366256714,0.4958042502403259,False,,
69,CH-FENDER-SILL-ATT-L_602,602,521,0.005965502001345158,0.0014691725373268127,0.02511507086455822,0.11637513339519501,False,,
70,CH-FENDER-RAIL-ATT-L_625,625,787,0.005931926891207695,0.0005283302161842585,0.02988024428486824,0.15528801083564758,False,,
71,OB-DOOR-FT-I-R_235,235,20289,0.005731909070163965,0.0003863592864945531,0.028894826769828796,0.7020959854125977,False,,
72,CH-FENDER-SILL-ATT-R_603,603,507,0.005574989132583141,0.003236498450860381,0.019536614418029785,0.06012715399265289,False,,
73,OB-DOOR-FT-I-L_234,234,20289,0.005275096744298935,0.0004944840329699218,0.026435384526848793,0.7043988108634949,False,,
74,MC-ECM-BRKT_172,172,719,0.005161707755178213,0.00029100695974193513,0.028546176850795746,0.23991891741752625,False,,
75,CH-SUSPFRM-BRKT-T-L_437,437,772,0.004938200116157532,0.0007370229577645659,0.025594815611839294,0.2958773374557495,False,,
76,CH-CBN-OUTER-R_356,356,29133,0.004800162743777037,6.05856730544474e-05,0.023735228925943375,0.7185096740722656,False,,
77,CH-CBN-OUTER-L_355,355,29386,0.004765781108289957,4.677785182138905e-05,0.02388056367635727,0.9376137852668762,False,,
78,CH-DOOR-FT-HINGE-T-L_619,619,133,0.004716289695352316,0.0015326592838391662,0.020168015733361244,0.032059941440820694,False,,
79,CH-CBN-SILL-MID_365,365,5815,0.004697252996265888,0.00015647042891941965,0.023397745564579964,0.2594811022281647,False,,
80,CH-SHOCKHOUSE-REINL_426,426,3448,0.004626171663403511,0.000967359053902328,0.014713257551193237,0.3726198375225067,False,,
81,CH-CBN-CTR-CSL-DASH_339,339,351,0.004591378848999739,0.0009365389705635607,0.02299836277961731,0.10790370404720306,False,,
82,CH-CBN-SILL-B_362,362,13722,0.004387165419757366,0.00033716397592797875,0.020644567906856537,1.0921648740768433,False,,
83,CH-SUSPFRM-BRKT-T-R_438,438,772,0.004251713398844004,0.0002583429159130901,0.022029833868145943,0.23026207089424133,False,,
84,MC-RAD-BRKT-R_186,186,169,0.003959516528993845,0.0009279762161895633,0.016255496069788933,0.041406359523534775,False,,
85,CH-A-PILLAR-I-R_319,319,939,0.003742009634152055,0.0006147355306893587,0.01884995773434639,0.08443930745124817,False,,
86,MC-RAD-FAN-SHROUD-L_194,194,2399,0.003319316077977419,0.0,0.008077867329120636,1.0195510387420654,False,,
87,CH-B-PILLAR-MID-R_329,329,5103,0.0031110341660678387,0.00013303692685440183,0.014202470891177654,0.40806612372398376,False,,
88,OB-DOOR-FT-REINI-R_239,239,2999,0.0028888217639178038,0.0005980851710774004,0.014299488626420498,0.08456457406282425,False,,
89,CH-A-PILLAR-MID-B-R_321,321,4190,0.0028216701466590166,0.0003039423609152436,0.01423625834286213,0.09372980147600174,False,,
90,CH-RAILS-REINFT-L-I_393,393,1705,0.0023571415804326534,0.00027229764964431524,0.010041599161922932,0.20929841697216034,False,,
91,CH-DOOR-FT-HINGE-T-R_620,620,133,0.0023381419014185667,0.0004711864748969674,0.010342138819396496,0.020534414798021317,False,,
92,OB-DOOR-FT-REINI-L_238,238,2999,0.0023260987363755703,0.0004524259129539132,0.011314482428133488,0.08133967220783234,False,,
93,CH-A-PILLAR-MID-B-L_320,320,4190,0.0022510711569339037,0.00018179988546762615,0.011967347003519535,0.073719322681427,False,,
94,OB-DOOR-FT-HINGE-T-L_232,232,52,0.002127576619386673,6.10189963481389e-05,0.011515689082443714,0.03942115232348442,False,,
95,CH-DOOR-FT-HINGE-B-R_618,618,133,0.0021202033385634422,0.0004075398901477456,0.010349146090447903,0.042191728949546814,False,,
96,CH-DOOR-FT-HINGE-B-L_617,617,133,0.002039445796981454,0.0008716590818949044,0.008640706539154053,0.03517154976725578,False,,
97,CH-CBN-SEAT-REINF-FT_357,357,10167,0.00183960166759789,0.0,0.009414427913725376,0.17010733485221863,False,,
98,CH-ROOCRUSH-FT-L_420,420,3430,0.001797572593204677,0.0,0.008169172331690788,0.0975654348731041,False,,
99,CH-A-PILLAR-REINF-B-I-R_325,325,1416,0.0017813986632972956,0.00032179284607991576,0.008532973937690258,0.05127595737576485,False,,
100,CH-A-PILLAR-MID-L_322,322,1818,0.0017446859274059534,5.495387813425623e-05,0.007767155300825834,0.12452471256256104,False,,
101,CH-RAILS-ENG-MNT-B-L_387,387,641,0.0016979366773739457,4.455823727766983e-05,0.009010683745145798,0.04863790050148964,False,,
102,CH-A-PILLAR-MID-R_323,323,1818,0.001585352118127048,5.694932769984007e-05,0.007291258312761784,0.11375383287668228,False,,
103,MC-RAD-SMALL-FRAME-L_198,198,167,0.001581471529789269,0.0002528401673771441,0.00734193017706275,0.03909790515899658,False,,
104,MC-RAD-FAN-L_188,188,1101,0.0015749692684039474,0.0,0.0013252984499558806,0.3758144974708557,False,,
105,CH-RAILS-U-MID_404,404,7374,0.0015053940005600452,1.0327441657409508e-07,0.007653653156012297,0.2870807349681854,False,,
106,CH-ROOCRUSH-FT-R_421,421,3430,0.0014940473483875394,0.0,0.005269218701869249,0.17375540733337402,False,,
107,MC-RAD-TOP-BOTTOM_200,200,2304,0.0013910091947764158,0.0,0.0007785934722051024,0.32153981924057007,False,,
108,OB-DOOR-FT-BPLATE-RR-L_222,222,563,0.0013388964580371976,0.0,0.006993633229285479,0.05681043863296509,False,,
109,OB-BUMPER-FT_299,299,13761,0.0013041626662015915,0.0,0.0,0.7262136936187744,False,,
110,CH-FENDER-SILL-ATT2-R_614,614,180,0.0012761539546772838,0.00021272953017614782,0.006440300960093737,0.025056330487132072,False,,
111,CH-CBN-DECK-SUPP2-L_350,350,947,0.001235657837241888,6.179924838534134e-08,0.005883198697119951,0.0931391716003418,False,,
112,OB-DOOR-FT-HINGE-T-R_233,233,52,0.0012104954803362489,4.531363629212137e-06,0.0062581985257565975,0.018671341240406036,False,,
113,CH-B-PILLAR-MID-L_328,328,5103,0.0011945799924433231,0.0,0.005752887576818466,0.2889357805252075,False,,
114,MC-RIM-FT-R_203,203,6302,0.0011768516851589084,0.0,0.005027026403695345,0.11271684616804123,False,,
115,OB-DOOR-FT-SUPP-O-R_243,243,2755,0.0011587660992518067,0.0,0.006795476656407118,0.06408379971981049,False,,
