epoch,baseline_train_mse,baseline_val_mse,baseline_val_rel_l2,statsonly_train_mse,statsonly_val_mse,statsonly_val_rel_l2,enhanced_train_mse,enhanced_val_mse,enhanced_val_rel_l2
10,0.032019,0.004387,0.221439,0.026056,0.003946,0.210019,0.026645,0.003923,0.209385
20,0.004975,0.003379,0.194344,0.004602,0.003154,0.187766,0.004694,0.003150,0.187627
30,0.003952,0.002665,0.172578,0.003740,0.002435,0.164980,0.003708,0.002323,0.161120
40,0.002971,0.001660,0.136226,0.002729,0.001533,0.130895,0.002679,0.001404,0.125253
50,0.002205,0.001318,0.121384,0.002161,0.001353,0.122984,0.002150,0.001301,0.120573
60,0.002010,0.001283,0.119750,0.002013,0.001308,0.120923,0.001995,0.001276,0.119405
70,0.001941,0.001267,0.119020,0.001946,0.001291,0.120142,0.001925,0.001266,0.118948
80,0.001896,0.001256,0.118498,0.001899,0.001282,0.119722,0.001872,0.001259,0.118600
90,0.001858,0.001247,0.118049,0.001859,0.001275,0.119354,0.001828,0.001252,0.118285
100,0.001824,0.001238,0.117634,0.001824,0.001266,0.118970,0.001792,0.001244,0.117916
110,0.001793,0.001230,0.117247,0.001792,0.001258,0.118575,0.001760,0.001235,0.117508
120,0.001767,0.001223,0.116911,0.001763,0.001250,0.118184,0.001734,0.001228,0.117145
130,0.001743,0.001217,0.116636,0.001737,0.001242,0.117841,0.001714,0.001223,0.116929
140,0.001723,0.001213,0.116415,0.001714,0.001237,0.117584,0.001699,0.001223,0.116913
150,0.001706,0.001209,0.116241,0.001696,0.001233,0.117405,0.001687,0.001225,0.117014
160,0.001692,0.001206,0.116102,0.001681,0.001231,0.117274,0.001677,0.001227,0.117104
170,0.001680,0.001204,0.115986,0.001670,0.001228,0.117167,0.001667,0.001227,0.117123
180,0.001669,0.001201,0.115881,0.001660,0.001227,0.117087,0.001656,0.001225,0.117015
190,0.001661,0.001200,0.115788,0.001653,0.001226,0.117042,0.001647,0.001220,0.116770
200,0.001655,0.001198,0.115729,0.001651,0.001225,0.116994,0.001647,0.001219,0.116714
